,ratios,policy_loss1,policy_loss2,policy_loss,value_loss,loss_hist
0,1.0003492832183838,0.0006928741349838674,-0.0008900538086891174,0.005681328475475311,4.292535305023193,1.9468361139297485
1,0.992961049079895,-0.0006840255809947848,0.002418119227513671,0.08312724530696869,4.121182441711426,1.9386056661605835
2,0.9900155663490295,-0.0014530413318425417,-0.014704185537993908,0.12375788390636444,4.165367603302002,2.001328945159912
3,0.9931503534317017,-0.0008767964318394661,0.00458160974085331,0.06043436378240585,4.162322044372559,1.936482548713684
4,1.0011712312698364,-0.0005038442905060947,-0.0028041687328368425,0.009755359031260014,1.491599440574646,0.5680358409881592
5,0.9998196363449097,-0.0006352844065986574,0.0015167160890996456,0.01630299538373947,1.3194501399993896,0.48850882053375244
6,0.9995440244674683,-0.0006180535419844091,0.0005956982495263219,0.024515608325600624,1.348469614982605,0.5112311840057373
7,0.9993644952774048,-0.0006280668312683702,0.003515095915645361,0.020883113145828247,1.4092499017715454,0.5379888415336609
8,0.9989902377128601,0.00019380672893021256,0.009689420461654663,0.009552692994475365,2.58172869682312,1.1160300970077515
9,1.0001736879348755,0.0005636277492158115,0.007762654218822718,0.01169615238904953,2.5813467502593994,1.1179825067520142
10,0.9998284578323364,0.0004895378951914608,0.009824905544519424,0.008175916038453579,2.580406665802002,1.1139923334121704
11,0.9991123080253601,0.00031529294210486114,0.010850124061107635,0.005808733403682709,2.578788995742798,1.110816240310669
12,1.0007712841033936,1.928718847921118e-05,0.008530198596417904,0.006239113863557577,3.9406187534332275,1.7894459962844849
13,0.9999852776527405,-0.00019441789481788874,0.008712000213563442,0.004633359145373106,3.9273316860198975,1.7811967134475708
14,0.9993733167648315,-0.00036156069836579263,0.0067200628109276295,0.0060664634220302105,3.9119980335235596,1.7749630212783813
15,0.9995542168617249,-0.0003207599220331758,0.00691122654825449,0.0053888834081590176,3.901803970336914,1.769188404083252
16,0.9997878074645996,0.0009580033947713673,0.007269952911883593,0.00014864368131384254,4.655905723571777,2.138782024383545
17,0.9995306134223938,0.0008913376368582249,0.006513083819299936,8.67659691721201e-05,4.627598762512207,2.1245667934417725
18,0.9993188381195068,0.0008381486986763775,0.00592724559828639,0.00013504813250619918,4.60724401473999,2.1144375801086426
19,0.9991223216056824,0.0007873721187934279,0.005519676022231579,0.00022880482720211148,4.596656322479248,2.1092376708984375
20,1.0010006427764893,-0.0003747327718883753,0.002090827329084277,0.0007197672966867685,2.8741679191589355,1.2475781440734863
21,1.001382827758789,-0.0002839471271727234,0.0017031222814694047,0.0005000525852665305,2.854092597961426,1.2373207807540894
22,1.0018374919891357,-0.00017445310368202627,0.0014775682939216495,0.0003279939410276711,2.8092856407165527,1.2147451639175415
23,1.0023515224456787,-4.656676537706517e-05,0.001558345160447061,0.00024765761918388307,2.795275926589966,1.2076600790023804
24,1.0011194944381714,-0.0003813214134424925,-0.0003602148499339819,0.00038930910523049533,3.805015802383423,1.7119951248168945
25,1.001054286956787,-0.00039264041697606444,-0.00036820926470682025,0.0004017817846033722,3.797363519668579,1.708181381225586
26,1.0011142492294312,-0.0003745102440007031,-0.0003453544632066041,0.00038697151467204094,3.773904800415039,1.6964372396469116
27,1.0012480020523071,-0.00033894871012307703,-0.0003045839839614928,0.00035607334575615823,3.7652831077575684,1.6920955181121826
28,1.0005663633346558,0.00030062589212320745,0.0002960636920761317,-0.00029562803683802485,4.285244941711426,1.9510023593902588
29,1.0006245374679565,0.0003151558630634099,0.00030357486684806645,-0.0003023579192813486,4.267209529876709,1.9419779777526855
30,1.0007261037826538,0.0003345624718349427,0.00030782289104536176,-0.0003044558980036527,4.261152267456055,1.9389472007751465
31,1.000787377357483,0.0003480467130430043,0.0003120820038020611,-0.0003071981482207775,4.2599968910217285,1.9383668899536133
32,1.0008217096328735,-0.00016697030514478683,-0.0002006658905884251,0.00020512350602075458,4.970334053039551,2.2939491271972656
33,1.0010879039764404,-0.00011133464431622997,-0.00012066576891811565,0.00012163008068455383,4.928201675415039,2.272799491882324
34,1.0014376640319824,-3.643413583631627e-05,-3.7074169085826725e-05,3.707966243382543e-05,4.893301010131836,2.2552647590637207
35,1.0018733739852905,5.8120564062846825e-05,5.754505400545895e-05,-5.754505400545895e-05,4.867075443267822,2.2420573234558105
36,0.9994217157363892,4.725713370135054e-05,4.725713370135054e-05,-4.725713370135054e-05,4.612613201141357,2.1149659156799316
37,0.9993809461593628,4.0787028410704806e-05,4.0787028410704806e-05,-4.0787028410704806e-05,4.590411186218262,2.1038713455200195
38,0.999355137348175,3.825340172625147e-05,3.822796497843228e-05,-3.8227561162784696e-05,4.573213577270508,2.0952751636505127
39,0.9993433356285095,3.8420799683080986e-05,-0.00038451291038654745,0.0004753652319777757,4.553845405578613,2.08610463142395
40,0.999824047088623,0.0002771136933006346,0.0002771136933006346,-0.0002771136933006346,4.958629131317139,2.2881345748901367
41,0.9998390674591064,0.0002895804063882679,0.0002895804063882679,-0.0002895804063882679,4.930932521820068,2.2742738723754883
42,1.0002927780151367,0.00037464246270246804,0.0003746003203559667,-0.00037460000021383166,4.902677059173584,2.260061264038086
43,1.0009092092514038,0.0004972829483449459,0.00046293140621855855,-0.0004555715131573379,4.897947788238525,2.257615566253662
44,1.0010968446731567,-7.494878809666261e-05,-0.0003682143578771502,0.0004322944732848555,3.624588966369629,1.621487021446228
45,1.0013655424118042,-1.1116616406070534e-05,-0.0001396221632603556,0.00016370064986404032,4.044524669647217,1.8311864137649536
46,1.0017374753952026,5.595044422079809e-05,-1.6520807548658922e-05,2.8208969524712302e-05,3.6891934871673584,1.6533852815628052
47,1.0021512508392334,0.0001400938635924831,0.00011068242747569457,-0.0001084021496353671,3.9234707355499268,1.7703872919082642
48,0.9993709325790405,0.0001145050409832038,0.0001145050409832038,-0.0001145050409832038,3.0591859817504883,1.338215947151184
49,1.0000784397125244,0.00018383997667115182,0.0001838403841247782,-0.00018383997667115182,2.876924753189087,1.2470160722732544
50,1.0008900165557861,0.00026313969283364713,0.0003481153107713908,-0.00013795988343190402,2.4659183025360107,1.0415587425231934
51,1.0010539293289185,0.0002774508320726454,0.0006148122483864427,-0.0001834610156947747,2.6437087059020996,1.1304084062576294
52,1.000182867050171,9.481023153057322e-05,0.00034264568239450455,-4.013530269730836e-05,1.9407888650894165,0.7797508239746094
53,1.0002572536468506,0.00010890514386119321,0.0002747326798271388,-1.2236490874784067e-05,1.8365588188171387,0.7276636362075806
54,1.0002715587615967,0.00011243767949054018,0.000201583476155065,2.9522005206672475e-05,1.9671438932418823,0.7929979562759399
55,1.0002734661102295,0.00011137796536786482,0.00024110802041832358,-3.069550803047605e-05,1.8461534976959229,0.7324424982070923
56,1.0003756284713745,-5.4401236411649734e-05,-6.103688792791218e-05,7.516831828979775e-05,3.5442984104156494,1.5811244249343872
57,1.0007089376449585,1.0830892279045656e-05,2.11639726330759e-05,-8.220165909733623e-06,3.5748071670532227,1.5962953567504883
58,1.0010579824447632,8.134995005093515e-05,9.384772420162335e-05,-7.958847709232941e-05,3.5784430503845215,1.5980418920516968
59,1.0014454126358032,0.00016136749763973057,0.00017503784329164773,-0.00015933923714328557,3.545980215072632,1.5817307233810425
60,0.9998233318328857,3.9115664549171925e-05,2.8291737180552445e-05,-2.7807873266283423e-05,3.4456186294555664,1.5313410758972168
61,1.0001399517059326,0.0001075698746717535,-5.473235796671361e-05,7.220776751637459e-05,3.4749948978424072,1.5461292266845703
62,1.000219464302063,0.00012485207116696984,4.0622660890221596e-05,-3.361103517818265e-05,3.445561408996582,1.5313066244125366
63,1.0002026557922363,0.00012108639202779159,0.00012017122935503721,-0.00012013446394121274,3.429851770401001,1.5233652591705322
